gene_name,insertion_index_score,Log_likelihood_ratio,essential,non-essential,unclear
ydeO,0.114173228,6.657301023,FALSE,TRUE,FALSE
safA,0.035353535,-5.769005313,TRUE,FALSE,FALSE
ydeP,0.170175439,12.61656535,FALSE,TRUE,FALSE
ydeQ,0.207650273,16.15417779,FALSE,TRUE,FALSE
ydeR,0.349206349,27.98247625,FALSE,TRUE,FALSE
ydeS,0.269303202,21.52801632,FALSE,TRUE,FALSE
ydeT,0.241238794,19.13670596,FALSE,TRUE,FALSE
yneL,0.245098039,19.47042289,FALSE,TRUE,FALSE
hipA,0.081632653,2.509450191,FALSE,FALSE,TRUE
hipB,0.02247191,-9.529909302,TRUE,FALSE,FALSE
yneO,0.16682322,12.28627931,FALSE,TRUE,FALSE
lsrK,0.114249843,6.666279272,FALSE,TRUE,FALSE
lsrR,0.076519916,1.778584819,FALSE,FALSE,TRUE
lsrA,0.098958333,4.809486033,FALSE,TRUE,FALSE
lsrC,0.121477162,7.500381133,FALSE,TRUE,FALSE
lsrD,0.097683787,4.648194639,FALSE,TRUE,FALSE
lsrB,0.138807429,9.409693099,FALSE,TRUE,FALSE
lsrF,0.20890411,16.26831297,FALSE,TRUE,FALSE
lsrG,0.109965636,6.159540596,FALSE,TRUE,FALSE
tam,0.109354414,6.086444164,FALSE,TRUE,FALSE
yneE,0.093989071,4.174162672,FALSE,TRUE,FALSE
uxaB,0.099862259,4.92320938,FALSE,TRUE,FALSE
yneF,0.088607595,3.465189369,FALSE,FALSE,TRUE
yneG,0.097222222,4.589508227,FALSE,TRUE,FALSE
glsB,0.103559871,5.382866761,FALSE,TRUE,FALSE
sad,0.09287257,4.028940021,FALSE,TRUE,FALSE
yneJ,0.16553288,12.15843905,FALSE,TRUE,FALSE
yneK,0.130824373,8.544736208,FALSE,TRUE,FALSE
ydeA,0.133501259,8.837377227,FALSE,TRUE,FALSE
marC,0.147147147,10.28992606,FALSE,TRUE,FALSE
marR,0.12183908,7.541510033,FALSE,TRUE,FALSE
marA,0.125,7.898277946,FALSE,TRUE,FALSE
marB,0.086757991,3.216024272,FALSE,FALSE,TRUE
eamA,0.082222222,2.591995709,FALSE,FALSE,TRUE
ydeE,0.203703704,15.7933385,FALSE,TRUE,FALSE
yneM,0.09375,4.143146143,FALSE,TRUE,FALSE
dgcZ,0.338945006,27.17701119,FALSE,TRUE,FALSE
ydeI,0.264631043,21.13533475,FALSE,TRUE,FALSE
ydeJ,0.283236994,22.68754772,FALSE,TRUE,FALSE
dcp,0.164222874,12.02823916,FALSE,TRUE,FALSE
ydfG,0.131191432,8.585024966,FALSE,TRUE,FALSE
rspR,0.062590975,-0.376096203,FALSE,FALSE,TRUE
ydfZ,0.132352941,8.712173524,FALSE,TRUE,FALSE
ydfI,0.136208077,9.130585957,FALSE,TRUE,FALSE
ydfJ,0.25877193,20.63996954,FALSE,TRUE,FALSE
ydfK,0.08974359,3.616785617,FALSE,TRUE,FALSE
pinQ,0.159052453,11.51018207,FALSE,TRUE,FALSE
tfaQ,0.211805556,16.53151893,FALSE,TRUE,FALSE
stfQ,0.107995846,5.923228573,FALSE,TRUE,FALSE
nohQ,0.098484848,4.749697027,FALSE,TRUE,FALSE
ynfO,0.132478632,8.725902012,FALSE,TRUE,FALSE
ydfO,0.02919708,-7.399517805,TRUE,FALSE,FALSE
gnsB,0.045977011,-3.401345691,FALSE,FALSE,TRUE
ynfN,0.051282051,-2.36458039,FALSE,FALSE,TRUE
cspI,0.084507042,2.908723375,FALSE,FALSE,TRUE
rzpQ,0.118473896,7.156786846,FALSE,TRUE,FALSE
rzoQ,0.109803922,6.140221091,FALSE,TRUE,FALSE
rrrQ,0.132958801,8.778293317,FALSE,TRUE,FALSE
ydfR,0.092948718,4.038874668,FALSE,TRUE,FALSE
